,Unnamed: 0,title,개월,spell,token
1760,1760,12일신생아 분유량 공유해요ㅠㅠ,0개월,12일 신생아 분유 공유해요ㅠㅠ,신생아 분유 공유
1761,1761,일주일된 신생아 먹는양 좀 봐주세요~,0개월,일주일 신생아 먹는 양 좀 봐주세요~,일주일 신생아 양 좀
1762,1762,함몰유두,0개월,함몰유두,함몰 유두
1763,1763,보통 제왕하고 언제 젖 돌아요?,0개월,보통 제왕하고 시간 모유 돌아요?,보통 제왕 시간 모유
1764,1764,갑자기궁금한건데 조리원에서 유축을 150정도한경우 잦병에 반씩나눠서 먹이나요?,0개월,갑자기 궁금한 조리원에서 유축을 150  잦병에 반씩 나눠서 먹이나요?,갑자기 조리 유축  반
1765,1765,젖뭉침 어쩌죠 정말 ㅜㅜ,0개월,젖 뭉침 어쩌죠 ㅜㅜ,젖 어쩌
1766,1766,(둘째)조리원에있는데 젖이 안도네요 ㅠ,0개월,(둘째) 조리원에 있는데 젖이 안도네요 ㅠ,둘째 조리 젖
1767,1767,넘 힘드네요 ㅠ,0개월,너무 힘드네요 ㅠ,
1768,1768,출산후4일차 가슴단단한것 언제 없어지나요?,0개월,출산 후 4일 차 가슴 단단한 시간 없어지나요?,출산 후 차 가슴 시간
1769,1769,조리원인데.. 아기 누워있는 상태에서 유축한거 먹여도 되나요?,0개월,조리원인데.. 아기 누워있는 상태에서 유축한 먹여도 되나요?,조리 아기 상태 유축
1770,1770,출산후 삼일차입니다,0개월,출산 후 삼일차입니다,출산 후 삼일
1771,1771,29일신생아 혼합수유 분유양,0개월,29일 신생아 혼합수유 분유 양,신생아 혼합  분유 양
1772,1772,생후 7일 신생아 다섯시간 동안 안먹고 잘수도 있나요??,0개월,생후 7일 신생아 다섯 시간 먹고 수도 있나요??,생후 신생아 다섯 시간 수도
1773,1773,아가가 젖을 잘 안물려고 해요ㅠ,0개월,아가가 젖을 물려고 해요ㅠ,아가 모유 해
1774,1774,출산 3일차 처음 모유시도하는데 눈물날만큼 젖이너무아파요ㅜㅜ,0개월,출산 3일차 처음 모유 시도하는데  날 젖이 아파요ㅜㅜ,출산 처음 모유  날 젖
1775,1775,모유수유..,0개월,모유 수유..,모유 수유
1776,1776,초유만 먹이고 분유주는분 있으세요?,0개월,초유만 먹이고 분유 주는 분 있으세요?,초유 먹이 분유 분
1777,1777,조리원에서 나온지 이틀째 조언 구합니다ㅠㅠ,0개월,조리원에서 이틀째 조언 구합니다ㅠㅠ,조리 이틀 조언 구합 니
1778,1778,모유수유 한쪽씩 할경우 유축해야하나요?,0개월,모유  한쪽씩  유축해야 하나요?,모유 위치 유축 하나요
1779,1779,초유만 먹일껀데 크림사야하나요,0개월,초유만 먹일 약 사야 하나요,초유 약 하나요
1780,1780,(조리원) 모유수유시 아기가 먹고 싶은 시간만큼 계속 주나요?,0개월,(조리원) 모유  아기가 먹고 싶은 시간만큼 계속 주나요?,조리 모유 아기 시간 계속
1781,1781,분유선택고민 어떤걸로 먹이고 계세요?,0개월,분유  고민 어떤 먹이고 계세요?,분유 고민 먹이 계세
1782,1782,조언해주세요..,0개월,조언해주세요..,조언
1783,1783,초유도 못먹이고 완분하신분 계세요?,0개월,초유도 먹이고 완불하신 분 계세요?,초유 먹이 완불 분 계세
1784,1784,"애기먹는 시간좀요,.",0개월,"아기 먹는 시간 좀요,.",아기 시간 좀
1785,1785,모유 언제부터 나오나오?(제왕),0개월,모유 언제부터 나오나 오?(제왕),모유 시간 제왕
1786,1786,출산 5일째 수유 ㅠㅠ,0개월,출산 5일째  ㅠㅠ,출산
1787,1787,큰 유두 모유수유 어떡하나요?ㅜㅜ,0개월,큰 유두 모유  어떡하나요?ㅜㅜ,유두 모유
1788,1788,모유수유 몇분해야하나요?,0개월,모유  분 하나요?,모유 분 하나요
1789,1789,새벽에 일어나서 유축하는게 어려워요ㅠㅠㅠㅠ,0개월,새벽에 일어나서 유축하는 어려워요ㅠㅠㅠㅠ,새벽 일어나서 유 축하
1790,1790,제왕5일째 유두보호기,0개월,제왕 5일째 유두 보호기,제왕 유두 보호 기
1791,1791,모유 먹이고 바로 분유 먹여도 되나요 ㅠㅠ???,0개월,모유 먹이고 바로 분유 먹여도 되나요 ㅠㅠ???,모유 먹이 바로 분유
1792,1792,너무 힘들어서 유축그만하고싶어요 ㅠ,0개월,너무 힘들어서 유축 그만하고 싶어요 ㅠ,유축
1793,1793,신생아 분유양과 텀좀 봐주세요,0개월,신생아 분유 양과 텀좀 봐주세요,신생아 분유 양 텀좀
1794,1794,수유텀이 길어지면 수유양도 늘어야하는거 아닌가요?,0개월,수유 텀이 길어지면  양도 늘어야 아닌가요?,수유  양도
1795,1795,모유량이용...,0개월,모유량 이용...,유량 이용
1796,1796,출산 3일 유축이용,0개월,출산 3일 유축 이용,출산 유축 이용
1797,1797,제왕절개 4일차 모유수유 병원에서 꼭 시작해야하나요?,0개월,제왕절개 4일차 모유  병원에서 시작해야 하나요?,제왕절개 모유 병원  하나요
1798,1798,조리원에서 모유 줄이는 법 없나요?(단유x),0개월,조리원에서 모유 줄이는 법 없나요?(단 유 x),조리 모유 법 단 유
1799,1799,출산4일차.. 제발 꼭 좀 읽고 짧은 답변이라도 부탁드립니다ㅜㅜㅜㅜㅜㅜㅜㅜ,0개월,출산 4일차.. 좀 읽고 짧은 답변이라도 부탁드립니다ㅜㅜㅜㅜㅜㅜㅜㅜ,출산 좀 답변
1800,1800,초유기준?? 모유가 늦는데 출산후 일주일,0개월,초유 기준?? 모유가 늦는데 출산 후 일주일,초유  모유 출산 후 일주일
1801,1801,생후 30일 된 아기 분유량이요,0개월,생후 30일 아기 분유 냥이요,생후 아기 분유 냥
1802,1802,4일째 아무것도 안하면 젖마를까요?ㅠㅠ,0개월,4일째 아무것도 젖마를까요?ㅠㅠ,것 모유 요
1803,1803,직수하면 금방 잠드네요~~,0개월,직수하면 금방 잠드네요~~,직 수하 금방 잠드네
1804,1804,29일 신생아 모유수유 텀이란게 없나요? 살려주세요 ㅠ ㅠ,0개월,29일 신생아 모유  텀이란 없나요? 살려주세요 ㅠ ㅠ,신생아 모유 텀
1805,1805,조리원 첫날 젖 양이 꽉 찼는데 안나와요ㅠㅠ,0개월,조리원 첫날 모유 양이 찼는데 안나와요ㅠㅠ,조리 첫날 모유 양
1806,1806,제왕절개 2일차에요,0개월,제왕절개 2일차에요,제왕절개
1807,1807,조리원모유수유,0개월,조리원 모유 수유,조리 모유 수유
1808,1808,아기 생후 얼마나 지나야 안깨우면서 먹이나요?,0개월,아기 시간 얼마나 지나야 깨우면서 먹이나요?,아기 시간 얼마나
1809,1809,초유가 안나와요 ㅠㅠ 초유나오는 기간,0개월,초유가 나와요 ㅠㅠ 초유 나오는 기간,초유 초유 기간
1810,1810,제왕절개 2일차입니다.,0개월,제왕절개 2일차입니다.,제왕절개
1811,1811,초유가 너무 적게나와요..,0개월,초유가 적게 나와요..,초유
1812,1812,제왕절개후 수유 언제부터 하셨어요??,0개월,제왕절개 후  언제부터 하셨어요??,제왕절개 후 언제
1813,1813,모유촉진차 문의요,0개월,모유 촉진 차 문의요,모유 촉진 차 문의
1814,1814,신생아 밤 수유 후 바로 자나요?,0개월,신생아 시간  후 바로 자나요?,신생아 시간 후 바로
1815,1815,오케타니 효과가 있을까요?,0개월,오케타니 효과가 있을까요?,오케타 효과
1816,1816,모류수유 하고 싶은데요~ 제가 조리원을 안가고 집에서 조리를 하는데,0개월,모류 수유하고 싶은데요~ 조리원을 가고 집에서 조리를 하는데,류  조리  조리
1817,1817,태어난지 일주일 .. 모유수유직수가 넘 힘들어요,0개월,태어난 일주일 .. 모유  직수가 힘들어요,일주일 모유 직 수가
1818,1818,모유양 늘리기 위해 맘라떼모아 드신분 있나요?,0개월,모유 양 늘리기 맘라 떼어 드신 분 있나요?,모유 양 맘 분
1819,1819,젖몸살 나서 넘 힘드네요,0개월,젖몸살 힘드네요,젖 몸살
1820,1820,젖물고 잠드는 신생아(생후 16일차) 어떻게해야 하나요?,0개월,젖 물고 잠드는 신생아(생후 16일차) 어떻게 하나요?,젖  신생아 시간 하나요
1821,1821,출산한지 24일째 되시는분들 모유양,0개월,출산한지 24일째 되시는 분들 모유 양,출산 모유 양
1822,1822,유축기 사용 할 때ㅜㅜ,0개월,유축기 사용할 때ㅜㅜ,유축기  때
1823,1823,조리원 곧 나가는데 직수 후 보충 양 가늠을 어떻게 해야할까요?,0개월,조리원 나가는데 직수 후 보충 양 가늠을 어떻게 할까요?,조리 직수 후 보충 양 가늠 요
1824,1824,자연분만 후 병원에서 주는 약,0개월,자연분만 후 병원에서 주는 약,자연 후 병원 약
1825,1825,"제왕 5일차, 애기가 젖을 안물어요ㅠㅠㅠㅠ",0개월,"제왕 5일차, 아기가 젖을 안물어요ㅠㅠㅠㅠ",제왕 아기 모유 안물
1826,1826,엄마38.3도 신생아 모유수유가능할까요,0개월,엄마 38.3도 신생아 모유  가능할까요,엄마 신생아 모유 요
1827,1827,"입원일주일,조리원2주 끝내고 집에가서도 젖양 늘릴 수 있을까요?ㅠㅠㅠ",0개월,"입원 일주일, 조리원 2주 끝내고 집에 가서도 젖양 늘릴 있을까요?ㅠㅠㅠ",입원 일주일 조리  젖
1828,1828,엄마가 분유를 주면 안먹어요,0개월,엄마가 분유를 주면 먹어요,엄마 분유
1829,1829,조리원에서 집에 온 날이에요!!!^^ 직수에 대해서 도와주세요♡,0개월,조리원에서 집에 날이에요!!!^^ 직수에 대해서 도와주세요♡,조리  날 직수 대해
1830,1830,직수하고 나면 아기가 너무 지쳐해요,0개월,직수하고 아기가 지쳐해요,직 수하 아기 해
1831,1831,젖도는시기,0개월,젖 시기,젖 시기
1832,1832,모유수유 방법~! 팁좀 알려주세요 ^^ 초산이에요!,0개월,모유  방법~! 팁 좀 알려주세요 ^^ 초산이에요!,모유 어떻게 팁 좀 초산
1833,1833,제왕절개 5일차 유축량 어떤가요?,0개월,제왕절개 5일차 유축 어떤가요?,제왕절개 유축 가요
1834,1834,"신생아 모유, 분유 질문이요",0개월,"신생아 모유, 분유 질문이요",신생아 모유 분유 질문
1835,1835,27일된 아기 수유량 고민,0개월,27일 아기 수유량 고민,아기 유량 고민
1836,1836,23일 신생아 젖만 물면 자여 도와주세여 ㅜ,0개월,23일 신생아 젖만 물면 자여 도와주세요 ㅜ,신생아 모유  자
1837,1837,첫 수유 후 마사지해야하나요?,0개월,첫  후 마사지해야 하나요?,첫 후 마사지 하나요
1838,1838,9일차 신생아))직수 후에 유축하시나요?,0개월,9일차 신생아)) 직수 후에 유축하시나요?,신생아 직수 후 유 축하 시나
1839,1839,24일 신생아 모유수유 하다 자꾸 금방 잠드는데여 ㅠㅠ꼭 한번 봐주세요,0개월,24일 신생아 모유 수유하다 금방 잠드는데요 ㅠㅠ꼭 한번 봐주세요,신생아 모유  금방 한번
1840,1840,모유수유 질문이용,0개월,모유  질문 이용,모유 질문 이용
1841,1841,30일차 수유조언좀해주세요,0개월,30일차  조언 좀 해주세요,조언 좀
1842,1842,11일차 모유수유 중인데요ㅠㅠ,0개월,11일차 모유  중인데요ㅠㅠ,모유 요
1843,1843,신생아 황달일때 모유요,0개월,신생아 황달일 때 모 유요,신생아 황달 일 때 모 유요
1844,1844,노랗지 않으면 초유가 아닌가요?,0개월,노랗지 않으면 초유가 아닌가요?,초유
1845,1845,신생아 12일 분유 양 봐주세여 ㅠ,0개월,신생아 12일 분유 양 봐주세요 ㅠ,신생아 분유 양
1846,1846,27일된 아기 수유량이 너무 궁금해요,0개월,27일 아기 수유량이 궁금해요,아기 유량
1847,1847,출산 5일차 모유수유 시간 ㅠ,0개월,출산 5일차 모유  시간 ㅠ,출산 모유 시간
1848,1848,27일 아기 수유텀과 분유/모유량 봐주세요ㅠㅠ,0개월,27일 아기  텀과 분유/모유량 봐주세요ㅠㅠ,아기  분유 유량
1849,1849,조리원퇴소후 집에가서 직수만하면요,0개월,조리원 퇴소 후 집에 가서 직수만 하면요,조리 퇴소 후  직 수만
1850,1850,직수 후 분유보충할때 분유량 때문에요,0개월,직수 후 분유 보충할 때 분유 때문에요,직수 후 분유 보충 때 분유 때문
1851,1851,잦은 모유수유 힘들어요ㅜ,0개월,잦은 모유  힘들어요ㅜ,모유
1852,1852,자연분만 3일째 젖을 5분 물리기도 힘들어요ㅜ,0개월,자연분만 3일째 젖을 5분 물리기도 힘들어요ㅜ,자연 모유 물리 기도
1853,1853,재왕절개시 모유수유 어떻게해요?,0개월,제왕절개 모유  어떻게 해요?,제왕절개 모유 해
1854,1854,신생아 헤겐젖병쓰는데 확실히 아이가 빠는게 안정적이고 공기도 안들어가고 좋더라고요.. 유미젖병은 어떤가요?,0개월,신생아 헤켄 젖병 쓰는데 확실히 아이가 빠는 안정적이고 공기도 들어가고 좋더라고요.. 젖병은 어떤가요?,신생아 헤켄 젖병 아이 안정  젖병 가요
1855,1855,신생아 계속 자요 ㅠ,0개월,신생아 계속 자요 ㅠ,신생아 계속 자
1856,1856,30일 되 아기 완모 수유텀과 시간,0개월,30일 아기 시간  텀과 시간,아기 시간  시간
1857,1857,생후 14일아가 모유수유,0개월,생후 14일 아가 모유 수유,생후 아가 모유 수유
1858,1858,조리원퇴소후에 집에가서,0개월,조리원 퇴소 후에 집에 가서,조리 퇴소 후 집
1859,1859,30일 신생아 혼합(직수-직수-분유 시) 유축은 언제해요??,0개월,30일 신생아 혼합(직수-직수-분유 시) 유축은 시간 해요??,신생아 혼합 직수 직수 분유 유축 시간 해
1860,1860,조리원 퇴소 후 모유수유.. 어렵네요ㅠ,0개월,조리원 퇴소 후 모유 수유.. 어렵네요ㅠ,조리 퇴소 후 모유 수유
1861,1861,신생아분유 뭘로 골라야합니끄아~,0개월,신생아 분유 뭘로 골라야 합니꺼 아~,신생아 분유 뭘 골
1862,1862,좀 일찍 분유 갈아타신 분 계세요?,0개월,좀 일찍 분유 갈아타신 분 계세요?,좀 일찍 분유 분 계세
1863,1863,자분 5일차 유축 타이밍을 모르겠어요...,0개월,자분 5일차 유축 타이밍을 모르겠어요...,자 유축 타이밍
1864,1864,약먹고 바로 수유해도 괜찮을까여??,0개월,약 먹고 바로 수유해도 괜찮을까요??,약 바로 수유
1865,1865,제왕절개 후 초유포함한 모유수유 가능한가요.,0개월,제왕절개 후 초 유포함 모유  가능한가요.,제왕절개 후 초 유  모유
1866,1866,조리원퇴소날 유축한거 가져가도되나요?,0개월,조리원 퇴소 날 유축한 가져가도 되나요?,조리 퇴소 날 유축
1867,1867,편평유두+입짧은 아기+모유량 적음,0개월,편평유두+입 짧은 아기+모유량 적음,편평 유두  아기 유량
1868,1868,초유만 먹이고 단유하려면 유축기 사용이 좋을까요? 아님 직접 물리는게 좋을까요?,0개월,초유만 먹이고 다유 하려면 유축 사용이 좋을까요? 물리는 좋을까요?,초유 먹이 유 유축 사용
1869,1869,도와주세요..ㅠ,0개월,도와주세요.. ㅠ,
1870,1870,수유할때마다,0개월,수유할 때마다,수유 때
1871,1871,조리원인데 분유를 자꾸 게워내요,0개월,조리원인데 분유를 게워내요,조리 분유
1872,1872,출산6일째인데 시원하게 유축하긴 어려울까요?,0개월,출산 6일째인데 시원하게 유축하긴 어려울까요?,출산 유 축하 요
1873,1873,보통 분만후 몇일째 부터 젖이 나오나요?,0개월,보통 출산 후 며칠째부터 젖이 나오나요?,보통 출산 후 며칠 젖
1874,1874,생후10일 모유수유 제가 잘하고있는걸까요?,0개월,생후 10일 모유  잘하고 있는 걸까요?,생후 모유 요
1875,1875,패턴좀 봐주세요ㅜㅜㅜ,0개월,패턴 좀 봐주세요ㅜㅜㅜ,패턴 좀
1876,1876,"완전 함몰유두인데요 직수 아닌, 유축기로 모유줘도될까요??",0개월,"완전 함몰유두인데요 직수 아닌, 유축기로 모유 줘도 될까요??",완전 함몰 유두 직수 유축 모유 요
1877,1877,유축 꼭 해야할까요?,0개월,유축 할까요?,유축 요
1878,1878,제왕절개 3일차 가슴돌덩어리같다고 남겼는데.. 냉찜질? 온찜질 뭐해야되요?,0개월,제왕절개 3일차 가슴 돌덩어리 같다고 남겼는데.. 냉찜질?  뭐 돼요?,제왕절개 가슴 시간  찜질 뭐
1879,1879,직수중인데 계속 게워내요,0개월,직수 중인데 계속 게워내요,직수 계속
1880,1880,직수에서 혼합 가는법,0개월,직수에서 혼합 가는 법,직수 혼합 법
1881,1881,신생아 모유수유 텀 좀 봐주세요ㅠㅠ,0개월,신생아 모유   좀 봐주세요ㅠㅠ,신생아 모유 좀
1882,1882,"출산 11일차,, 모유단유 해도 될까요?",0개월,"출산 11일차,, 모유 다유 될까요?",출산 모유 유 요
1883,1883,완모하신분께 질문있어요!!,0개월,완보하신 분께 질문 있어요!!,완보 분 질문
1884,1884,제왕절개 3일차인데 가슴이 돌덩이같아요,0개월,제왕절개 3일차인데 가슴이 돌덩이 같아요,제왕절개 가슴 시간 덩이
1885,1885,출산 이틀째 모유수유 어렵네용ㅜ,0개월,출산 이틀째 모유  어렵네요ᅮ,출산 이틀 모유
1886,1886,조리원 나오자마자 갑자기 젖양이 줄수도 있나요?ㅜㅜ,0개월,조리원 나오자마자 갑자기 젖양이 수도 있나요?ㅜㅜ,조리 갑자기 모유 수도
1887,1887,조리원에서 수유얼만큼하시나요?,0개월,조리원에서  얼마큼 하시나요?,조리 얼마
1888,1888,27일 신생아 혼합수유 방법좀 알려주세요 ㅜ,0개월,27일 신생아 혼합수유 어떻게 좀 알려주세요 ㅜ,신생아 혼합  좀
1889,1889,"이제 2주일 신생아인데, 젖병구입 시 160 아니면 260?",0개월,"이제 2주일 신생아인데, 젖병  160 아니면 260?",이제 주일 신생아 젖병
1890,1890,신생아분유량 늘이기 비법 있나요?,0개월,신생아분유량 늘이기 비법 있나요?,신생아 유량 이기 비법
1891,1891,신생아 수유는 ?,0개월,신생아 수유는?,신생아 수유
1892,1892,30일 아가 모유 양이 적은걸까요?,0개월,30일 아가 모유 양이 적은 걸까요?,아가 모유 양 요
1893,1893,모유수유하고 싶은데 카고 나야하는건가오,0개월,모유 수유하고 싶은데 카고 오,모유  카 오
1894,1894,3일된 신생아인데 젖을 잘 못 빨아요ㅠㅠ,0개월,3일 신생아인데 젖을 빨아요ㅠㅠ,신생아 젖
1895,1895,유선이 막힌게 어떤거죠??,0개월,유선이 막힌 어떤 거죠??,유선 거
1896,1896,신생아 8일 완분이요,0개월,신생아 8일 분이요,신생아
1897,1897,생후 26일차,0개월,생후 26일차,생후
1898,1898,모유수유 중 약,0개월,모유  약,모유 약
1899,1899,생후 12일차 4시간이상 잠만자요,0개월,생후 12일차 4시간 잠만 자요,생후 자
1900,1900,신생아실에서 먹이는 분유 안맞을수도있나요?,0개월,신생아실에서 먹이는 분유 맞을 수도 있나요?,신생 분유 수도
1901,1901,오늘 처음 모유 돌기 시작해서 질문이요(급해요ㅠㅠ),0개월,오늘 처음 모유 시작해서 질문이오(급해요ᅲᅲ),오늘 처음 모유  질문 이오
1902,1902,직수를 하니 먹는 양을 잘 모르겠어요...ㅜㅜ,0개월,직수를 먹는 양을 모르겠어요... ㅜㅜ,직수 양
1903,1903,병원에 입원 중 모유수유,0개월,병원에 입원 모유 수유,병원 입원 모유 수유
1904,1904,모유 촉진차? 드셔보신분!,0개월,모유 촉진 차? 드셔보신 분!,모유 촉진 차 분
1905,1905,함몰유두 모유수유,0개월,함몰유두 모유 수유,함몰 유두 모유 수유
1906,1906,먹는 것과 모유양의 관계?,0개월,먹는 것과 모유 양의 관계?,것 모유 양 관계
1907,1907,생후 27일 아기 분유 몇 먹나요?,0개월,생후 27일 아기 분유 먹나요?,생후 아기 분유
1908,1908,20일 신생아 수유텀,0개월,20일 신생아  텀,신생아 텀
1909,1909,출산 19일..완모 아기인데..하루종일 젖이 말랑말랑해요ㅜㅜ,0개월,출산 19일.. 시간 아기인데.. 하루 종일 젖이 말랑말랑해요ㅜㅜ,출산 시간 아기 하루 종일 젖
1910,1910,정말 미치겠어요~~~~~~~~~~~,0개월,정말 미치겠어요~~~~~~~~~~~,정말
1911,1911,수유텀만들기 도와주세요..,0개월,수유  만들기 도와주세요..,수유 만들기
1912,1912,30일)분유텀 지켜야하나요 ?ㅠㅠ,0개월,30일) 분유  지켜야 하나요 ?ㅠㅠ,분유 하나요
1913,1913,초유는 언제까지 나오나요?,0개월,초유는 언제까지 나오나요?,초유 언제
1914,1914,신생아 분유 추천 해주세요,0개월,신생아 분유 추천해주세요,신생아 분유 추천
1915,1915,생후 15일째 분유량 공유해주세요!,0개월,생후 15일째 분유 공유해주세요!,생후 분유 공유
1916,1916,신생아수유 질문입니다.,0개월,신생아  질문입니다.,신생아 질문
1917,1917,생후 10일차 갑자기 조리원 입실 후 아이가 잘 안먹어요,0개월,생후 10일차 갑자기 조리원 입실 후 아이가 먹어요,생후 갑자기 조리 입실 후 아이
1918,1918,제왕절개 수술실에서도 수유 가능한가요??,0개월,제왕절개 수술실에서도  가능한가요??,제왕절개 수술실
1919,1919,신생아 먹는양이요!,0개월,신생아 먹는 양이요!,신생아 이요
1920,1920,출산 4일차인데 유축은 언제하는건가요?,0개월,출산 4일차인데 유축은 시간 건가요?,출산 유축 시간 건가
1921,1921,모유수유 할때 이건 절대 먹으면 안된다 하는게 있을까요,0개월,모유 수유할 때 먹으면 있을까요,모유  때
1922,1922,너무 어려워요ㅜㅜ,0개월,너무 어려워요ㅜㅜ,
1923,1923,조리원인데 유축이요~ㅠ,0개월,조리원인데 유축이요~ㅠ,조리 유축
1924,1924,완모를 꿈꾸는데 아기가 먹다 말아요.. 도와주세요ㅠ,0개월,완모를 꿈꾸는데 아기가 먹다 말아요.. 도와주세요ㅠ,완모 아기
1925,1925,분만 3일째 모유수유양,0개월,분만 3일째 모유  양,분만 모유 양
1926,1926,젖양이 너무 줄어들었는데 단유를 해야할지 질문해요ㅠ,0개월,젖양이 줄어들었는데 단유를 질문해요ㅠ,젖 유 질문
1927,1927,제왕절개 후 병원 에서주는 약먹고있는데요 유축과 모유수유시간?,0개월,제왕절개 후 병원 주는 약 먹고 있는데요 유축과 모유 수유시간?,제왕절개 후 병원 약 유축 모유  시간
1928,1928,구토 후 수유는 언제 하나요?,0개월,구토 후 수유는 시간 하나요?,구토 후  시간 하나요
1929,1929,19일 아기 계속 먹겟다는데먹이나여..?,0개월,19일 아기 계속 먹겠다는데 먹이나요..?,아기 계속
1930,1930,"제왕절개 초기, 조언과 도움 ^^",0개월,"제왕절개 초기, 조언과 도움 ^^",제왕절개 초기 조언 도움
1931,1931,초유는 다 진한색인건가요?,0개월,초유는 다 진한 색인 건가요?,초유 색인 건가
1932,1932,산후조리원에 원하는 분유 가지고 가도 되나요?,0개월,산후조리원에 원하는 분유 가지고 가도 되나요?,산후조리원 분유 가도
1933,1933,초유,0개월,초유,초유
1934,1934,생후5일된아기분유량,0개월,생후5일된아기분유량,생후
1935,1935,오늘부터 모유가 조금씩 나오는데 이제 어떻게 해야할까요..??,0개월,오늘부터 모유가 조금씩 나오는데 이제 어떻게 할까요..??,오늘 모유 이제 요
1936,1936,"20일정도 된 아가 보통 얼마씩 먹나요,",0개월,"20일 아가 얼마씩 먹나요,",아가 얼마
1937,1937,젖이 잘 안나와서,0개월,젖이 나와서,젖
1938,1938,아무것도 모르겟어요 ....,0개월,아무것도 모르겠어요 ....,것
1939,1939,신생아 원래 이렇게 먹는거죠..?,0개월,신생아 이렇게 먹는 거죠..?,신생아 거
1940,1940,23일 신생아 분유량 궁금해요.... 하루총량?,0개월,23일 신생아 분유 궁금해요.... 하루 총량?,신생아 분유 하루 총량
1941,1941,출산 5일째 젖 양이요~,0개월,출산 5일째 모유 양이요~,출산 모유 이요
1942,1942,자는아기 수유시..,0개월,자는 아기  시..,아기 시
1943,1943,출산하신분들 봐주세요~,0개월,출산하신 분들 봐주세요~,출산
1944,1944,생후 5일째 아기 분유텀,0개월,생후 5일째 아기 분유 텀,생후 아기 분유 텀
1945,1945,모유량이 늘긴 늘까요..,0개월,모유량이 늘긴 늘까요..,유량 요
1946,1946,신생아 혼합수유 횟수 괜찮을까요?,0개월,신생아 혼합수유 횟수 괜찮을까요?,신생아 혼합  횟수
1947,1947,생후 11일 먹는양ㅜㅜ,0개월,생후 11일 먹는 양ㅜㅜ,생후 양
1948,1948,황달과 모유수유,0개월,황달과 모유 수유,황달 모유 수유
1949,1949,출산후 3일째 가슴이 너무아파요,0개월,출산 후 3일째 가슴이 아파요,출산 후 가슴
1950,1950,출산 후에 아직 젖이 안 도는데 마사지 받음 도움 되나요??,0개월,출산 후에 젖이 도는데 마사지 받음 도움 되나요??,출산 후 모유 마사지 도움
1951,1951,초유 유축 3시간텀 꼭지켜야하나요?,0개월,초유 유축 3시간  지켜야 하나요?,초유 유축 하나요
1952,1952,생후29일차 모유수유,0개월,생후 29일 차 모유 수유,생후 차 모유 수유
1953,1953,23일아가 분유 트림이요 정상인가요?,0개월,23일 아가 분유 트림이요 정상인가요?,아가 분유 트림 정상
1954,1954,이런 상황에서는 어떻게 텀을 다시 맞춰야하나요.?,0개월,이런 상황에서는 어떻게 텀을 맞춰야 하나요.?,상황  하나요
1955,1955,젖이 뭉치고 너무 아파요..,0개월,젖이 뭉치고 아파요..,젖 뭉치
1956,1956,24일 신생아 젖 달라는대로 주면 되나요?,0개월,24일 신생아 모유 달라는 주면 되나요?,신생아 모유 달라
1957,1957,모유주시면 아가 거의설사변보나요?,0개월,모유 주시면 아가 거의 변 면보나요?,모유 주시 아가 거의 변 보나
1958,1958,출산 일주일째 모유량이 안늘어요,0개월,출산 일주일째 모유량이 늘어요,출산 일주일 유량
1959,1959,수유콜이요,0개월,수유 콜이요,수유 콜
1960,1960,23일 아가 수유양 질문이요 (도우미분이 너무 많이 먹이는 것 같아요.),0개월,23일 아가  양 질문이오 (도우미분이 많이 먹이는 같아요.),아가 양 질문 이오 도우미
1961,1961,애기 황달와서 초유를 냉동만 해놓다가 이제 모유 먹이자고 하시네요~,0개월,아기 황달 초유를 냉동만 해놓다가 이제 모유 먹이자고 하시네요~,아기 황달 초유  이제 모유 먹이 자고
1962,1962,신생아 분유 질문이요,0개월,신생아 분유 질문이요,신생아 분유 질문
1963,1963,출산9일째 아기가 잘 안먹어요.,0개월,출산 9일째 아기가 먹어요.,출산 아기
1964,1964,분유수유 할경우~,0개월,분유 수유할 경우~,분유  경우
1965,1965,"출산 11일차, 떡볶이 먹어도될까요",0개월,"출산 11일차, 떡볶이 먹어도 될까요",출산 떡볶이 요
1966,1966,출산4일차,0개월,출산 4일차,출산
1967,1967,모유양 늘리고 싶어요,0개월,모유 양 늘리고 싶어요,모유 양
1968,1968,출산 11일차에요 .. 단유약처방받을까요,0개월,출산 11일차에요 .. 단 유약 처방받을까요,출산 단 유약 처방
1969,1969,알려주세요,0개월,알려주세요,
1970,1970,깨서 울면 먹인다 vs 먹을때되면 알아서 먹인다,0개월,깨서 울면 먹인다 vs 먹을 때 알아서 먹인다,울면 때
1971,1971,분유수유단점,0개월,분유  단점,분유 단점
1972,1972,16일된 아기인데 밤에 아기가 안깨고 계속 자면 굳이 안먹여도 되나요?,0개월,16일 아기인데 밤에 아기가 깨고 계속 자면 먹여도 되나요?,아기 시간 아기 계속
1973,1973,21일 아가 수유총량어떻게되세요?,0개월,21일 아가  어떻게 되세요?,아가
1974,1974,10일 된 신생아 젖꼭지 거부,0개월,10일 신생아 젖꼭지 거부,신생아 젖꼭지 거부
1975,1975,직수안하고 유축으로만 수유하는거요ㅠ,0개월,직수 유축으로만 수유하는 거요ㅠ,직수 유축  거
