,title,개월,spell,token
3606,42일아기 안자요.,1개월,42일 아기 안 자요.,아기 안 자
3607,"양적은산모의 후유, 유축",1개월,"양적은 산모의 후유, 유축",양적 산모 후유 유축
3608,33일차 아가니다. 갑자기 분유를 많이 먹어요,1개월,33일 차 아가니다. 갑자기 분유를 많이 먹어요,차 아가 니 갑자기 분유
3609,한달된 아기 무게랑 분유 어떻게 되시나요?,1개월,한 달 된 아기 무게랑 분유 어떻게 되시나요?,달 아기 무게 분유
3610,(모유)37일차 아기 시중 ,1개월,(모유) 37일 차 아기 시중,모유 차 아기 시중
3611,32일아기 수면을안자는데 분유 더줘도_까요ㅠㅠ,1개월,32일 아기 수면을 안자는 데 분유 더 줘도 _까요 ㅠㅠ,아기 수면 데 분유 더
3612,50일 아기 너무 안먹어요ㅠㅠ,1개월,50일 아기 너무 안 먹어요 ㅠㅠ,아기 안
3613,시중 문니다,1개월,시중 문니다,시중
3614,분유좀봐주세요,1개월,분유 좀 봐주세요,분유 좀
3615,아기 시까지 깨워가며 먹여야해요?,1개월,아기 시까지 깨워가며 먹여야 해요?,아기 시 해
3616,애가  안고파해도  되면 먹이나요?,1개월,애가 안고파해도 되면 먹이나요?,애가 해도
3617,시하시는분들,1개월,시간 하시는 분들,시간
3618,56일 아기 분유,1개월,56일 아기 분유,아기 분유
3619,중에 수면드는아기,1개월,중에 수면드는 아기,중 수면 아기
3620,60일 아기 시(체 너무 잘늘어요),1개월,60일 아기 시(체 너무 잘 늘어요),아기 시 체
3621,혼합에서 시로?,1개월,혼합에서 시간로?,혼합 시간 로
3622,60일 분유,1개월,60일 분유,분유
3623,50일아기 분유 ,1개월,50일 아기 분유,아기 분유
3624,모유/50일/통수면/황달/수면교육 공유,1개월,모유/50일/ 통수면/황달/수면교육 공유,모유 통 수면 황달 수면 교육 공유
3625,45일 아가  고민이요ㅠㅜ,1개월,45일 아가 고민이 요 ㅠㅜ,아가 고민 요
3626,도와주세요 ㅠㅁㅠ,1개월,도와 주세요 ㅠㅁㅠ,도
3627,60일아가 ,1개월,60일 아가,아가
3628,혼합에서 시로 갈 수 있을까요?,1개월,혼합에서 시간로 갈 수 있을까요?,혼합 시간 로 수
3629,"직수 47일 아기, 10분정도 먹고 3시 푹 자는데요! 답변 부탁드릴게요♡",1개월,"직수 47일 아기, 10분 정도 먹고 3시 푹 자는데요! 답변 부탁드릴게 요♡",직수 아기 정도 푹 답변 요
3630,36일차 모유양이 너무 적어요,1개월,36일 차 모유 양이 너무 적어요,차 모유 양
3631,"시 한 달 분유, 먹는 시",1개월,"시 한 달 분유, 먹는 시",시 달 분유 시
3632,시 한시씩 걸리는분 계시나요..?,1개월,시 한 시씩 걸리는 분 계시나요..?,시 시 분
3633,족먹어도 될까요?,1개월,족 먹어도 될까요?,족 요
3634,40일 아기 시이요,1개월,40일 아기 시이요,아기 이요
3635,중가 뭔가요?ㅠ,1개월,중가 뭔가요?ㅠ,중 뭔가
3636,모유 중 가슴,1개월,모유 중 가슴,모유 중 가슴
3637,36일 아기 분유,1개월,36일 아기 분유량,아기 분 유량
3638,모유모유젖꼭지 통증 너무 화가나네요ㅜ,1개월,모유 젖꼭지 통증 너무 화가 나네요ㅜ,모유 젖꼭지 통증 화가
3639,30일 아가  봐주세요~!,1개월,30일 아가 봐주세요~!,아가
3640,52일된 아가 통수면,1개월,52일 된 아가 통수면,아가 통 수면
3641,허무하네요ㅠㅠ직수후 분유 원샷..모유양 어떻게 늘리나요?,1개월,허무하네요 ㅠㅠ 직수 후 분유 원샷..모유 양 어떻게 늘리나요?,직수 후 분유 원샷 모유 양
3642,50일아가 모유.수면시 공유해요,1개월,50일 아가 모유. 수면시 공유해요,아가 모유 면시 공유
3643,49일 아기 분유양,1개월,49일 아기 분유양,아기 분유
3644,모유 시중 58일차.,1개월,모유 시간 중 58일 차.,모유 시간 중 차
3645,52일째 아기 ㅠ분유 공유 좀요,1개월,52일째 아기 ㅠ분유 공유 좀요,아기 분유 공유 좀
3646,42일된 아긴데 이렇게 먹어도 되나요?,1개월,42일 된 아긴데 이렇게 먹어도 되나요?,
3647,46일 분유 아가에요 량좀 공유해주세요,1개월,46일 분유 아가에 요 량 좀 공유해주세요,분유 아가 요 량 좀 공유
3648,시수끊는법!?,1개월,시수끊는 법!?,수 법
3649,혼합시 분유 어떻게하세요?,1개월,혼합시 분유 어떻게 하세요?,혼합 시 분유
3650,42일 아가와 죽음의 시 10시  레이스..,1개월,42일 아가와 죽음의 시 10시 레이스..,아가 죽음 시 레이스
3651,50일 아기 좀 봐주세요,1개월,50일 아기 좀 봐주세요,아기 좀
3652,시 15분은 아기가 그만 먹는 시 인가요??,1개월,시 15분은 아기가 그만 먹는 시 인가요??,시 아기 시
3653,5주차 35일 신생아..  잘하고있는걸까요? ㅠ 원더윅스가 이런식으로도 오나요?,1개월,5주차 35일 신생아.. 잘하고 있는 걸까요? ㅠ 원더윅스가 이런 식으로도 오나요?,주차 신생아 요 원더윅스 식
3654,아기가 넘어가듯이 먹어요,1개월,아기가 넘어가듯이 먹어요,아기
3655,32된분유아가 140먹었는데 넘많이먹인거아닌가걱정되요ㅠㅠ,1개월,32된 분유아가 140먹었는데 넘 많이 먹인 거 아닌가 걱정되요 ㅠㅠ,분유 아가 거 걱정
3656,자연다유일까요??,1개월,자연 다 유일까요??,자연 유일
3657,57일차 아가,1개월,57일 차 아가,차 아가
3658,시하고싶지만ㅠ 다유예정인데요!,1개월,시간하고 싶지만 ㅠ 다유 예정인데요!,시간 유 예정 요
3659,50일 아기 무게 더딘것 같은데 혼합 해야하는지..꼭 조언해주세요 ㅠ,1개월,50일 아기 무게 더딘 것 같은데 혼합 해야 하는지..꼭 조언해주세요 ㅠ,아기 무게 것 혼합 꼭 조언
3660,40일~50일 아가 량  공유부탁드려요~,1개월,40일~50일 아가 량 공유 부탁드려 요~,아가 량 공유 요
3661,시삭달아기 200ml사도 괜찮을까요?,1개월,시삭 달아 기 200ml 사도 괜찮을까요?,시삭 달 기 사도
3662,늘리기? 47일 아기인데 5시 만에 먹었어요.,1개월,늘리기? 47일 아기인데 5시 만에 먹었어요.,아기
3663,35일생 직수시하고 유축이요,1개월,35일 생 직수시하고 유축이요,생 직 수시 유축
3664,"시 8주차, 떼쓰고 모유거부ㅜㅜ",1개월,"시 8주차, 떼쓰고 모유 거부ㅜㅜ",시 주차 모유 거부
3665,32일 5.8kg 아기 량,1개월,32일 5.8kg 아기 량,아기 량
3666,43일아가  좀 봐주세요^^,1개월,43일 아가 좀 봐주세요,아가 좀
3667,34일아기 자꾸 유두끝을 어요ㅠ,1개월,34일 아기 자꾸 유두 끝을 어 요ㅠ,아기 자꾸 유두 끝 요
3668,37일만에 첫 직수를 했는데요..,1개월,37일 만에 첫 직수를 했는데요..,첫 직수
3669,분유와 변  상관..,1개월,분유와 변 상관..,분유 변 상관
3670,먹으면서ㅉㅏ증,1개월,먹으면서 ㅉㅏ증,증
3671,50일 분유 300-400 먹어요 ㅠ,1개월,50일 분유 300-400 먹어요 ㅠ,분유
3672,"50일 모유주 혼합, 모유양이 부족해서 이 짧을까요?",1개월,"50일 모유주 혼합, 모유양이 부족해서 이 짧을까요?",유주 혼합 모유 이
3673,좀봐주세요,1개월,좀 봐주세요,좀
3674,700도 안먹는 60일 아기ㅠㅠ,1개월,700도 안 먹는 60일 아기 ㅠㅠ,도 안 아기
3675,분유명에서 유기농궁 분유로 바꾸려고 하는데요~도와주세요,1개월,분유명에서 유기농궁 분유로 바꾸려고 하는데요~도와주세요,분유 유기농 궁 분유
3676,34일생 아기 모유 ...,1개월,34일 생 아기 모유 ...,생 아기 모유
3677,45일 아기가 3일 전부터 모유을 밀어내요,1개월,45일 아기가 3일 전부터 모유을 밀어내요,아기 전 모유 을
3678,아기가 몇시까지 안먹어도 괜찮은지 궁금해요~,1개월,아기가 몇 시까지 안 먹어도 괜찮은지 궁금해 요~,아기 몇 시 안 요
3679,시 한달 아기  두시이면 보충안해도 되죠?,1개월,시 한 달 아기 두 시이면 보충안 해도 되죠?,시 달 아기 두 이면 보충 안 해도
3680,사출로 유축먹이시다가 직수 갈아타신분 있나요? ㅜ,1개월,사출로 유축 먹이시다가 직수 갈아타신 분 있나요? ㅜ,사출 유축 직수 분
3681,44일 이요~,1개월,44일 이요~,이요
3682, 지금 해야하나요?(막수7시),1개월,지금 해야 하나요?(막수 7시),지금 하나요
3683,출산43일차 모유 문이요ㅠ,1개월,출산 43일차 모유 문이요ㅠ,출산 모유 이요
3684,60일정도된 아기..유축좀 봐주세요,1개월,60일 정도 된 아기..유축 좀 봐주세요,정도 아기 유축 좀
3685,시 1월 체 안늘어요,1개월,시 1월 체 안 늘어요,시 체 안
3686,30일 아가 혼합양  궁금해요,1개월,30일 아가 혼합양 궁금해요,아가 혼합
3687,혼합 40~50일경 아가 시에 몇번 하시나요?,1개월,혼합 40~50일 경 아가 시에 몇 번 하시나요?,혼합 경 아가 시 몇 번
3688,50일아기 분유  어떻게해서 먹이나요?,1개월,50일 아기 분유 어떻게 해서 먹이나요?,아기 분유
3689,시 47일 분유 이요 ㅠㅠ,1개월,시 47일 분유 이요 ㅠㅠ,시 분유 이요
3690,유기농 궁 1 방구,1개월,유기농 궁 1 방구,유기농 궁 방구
3691,모유를 거부하는 거 같아요ㅠㅜ,1개월,모유를 거부하는 거 같아 요 ㅠㅜ,모유 거부 거 요
3692,"시 30일 아가, 분유 늘리기",1개월,"시 30일 아가, 분유 늘리기",시 아가 분유
3693,우리 아기 행동좀 봐주세요 ㅠㅠ,1개월,우리 아기 행동 좀 봐주세요 ㅠㅠ,우리 아기 행동 좀
3694,도와주세요ㅜㅠ 40일 아기 체중과 량ㅜㅠ,1개월,도와 주세요 ㅜㅠ 40일 아기 체중과 량ㅜㅠ,도 아기 체중 량
3695,60일아가 시에 일어나면 분유 주나요,1개월,60일 아가 시간에 일어나면 분유 주나요,아가 시간 분유
3696,시30일 분유,1개월,시 30일 분유,시 분유
3697,분유 49일차 분유봐주세요,1개월,분유 49일 차 분유봐주세요,분유 차 분유
3698,"갑자기 통수면자는 39일 아기, 유축 해야겠죠?",1개월,"갑자기 통수면자는 39일 아기, 유축 해야겠죠?",갑자기 통 수면 아기 유축
3699,40일 아기 모유양 문니다~,1개월,40일 아기 모유양 문니다~,아기 모유
3700,50일 이전 통수면자면 안깨우나요,1개월,50일 이 전 통수면 자면 안 깨우나요,이 전 통 수면 안
3701,분유 도와주세요~~!!,1개월,분유 도와 주세요~~!!,분유 도
3702,31일 아가 하루 분유 량 800 많은가요?,1개월,31일 아가 하루 분유 량 800 많은가요?,아가 하루 분유 량
3703,시40일 분유  맞게하는건지 조언부탁드려요 ㅠㅠ,1개월,시 40일 분유 맞게 하는 건지 조언 부탁드려요 ㅠㅠ,시 분유 조언
3704,53일아기 하루 량이 너무적어요,1개월,53일 아기 하루 량이 너무 적어요,아기 하루 량
3705,54일차 시중  어떻게 되나요?,1개월,54일 차 시간 중 어떻게 되나요?,차 시간 중
3706,50일아기 모유만 면 자요ㅠㅠ,1개월,50일 아기 모유만 면 자요 ㅠㅠ,아기 모유 면 자
3707,"42일 아기, 먹고 자고 하는거 이죠??",1개월,"42일 아기, 먹고 자 고 하는 거 이죠??",아기 자 고 거 이
3708,10분~ 15분 정도 먹고 시수면 2시에서 2시 반 정도 푹 자는 아기요!,1개월,10분~ 15분 정도 먹고 시 간 수면 2시에서 2시 반 정도 푹 자는 아기요!,정도 시 간 수면 반 정도 푹 아기
3709,"시 한달 아기, 분유 양 ㅜㅜ 문요",1개월,"시 한 달 아기, 분유 양 ㅜㅜ 문요",시 달 아기 분유 양 문
3710,34일아가 분유,1개월,34일 아가 분유,아가 분유
3711,분유 도와주세요 ㅠㅠ,1개월,분유 도와 주세요 ㅠㅠ,분유 도
3712,모유량은 많은데 유축가 힘들어서 포기하니까 애기한테 미안해지네요,1개월,모유량은 많은데 유축가 힘들어서 포기하니까 애기한테 미안해지네요,유량 유 축가 포기 애기
3713,지칭 모유,1개월,지칭 모유,지칭 모유
3714,54일 아기 드맘1단계 먹여도 상관없나요?,1개월,54일 아기 드맘1단계 먹여도 상관없나요?,아기 드맘 단계
3715,가 이렇게 힘들줄은 ㅠ 너무 아파요 ㅠㅠ,1개월,가 이렇게 힘들 줄은 ㅠ 너무 아파요 ㅠㅠ,줄
3716,시34일 아기,1개월,시 34일 아기,시 아기
3717,60일아기분유,1개월,60일 아기 분유,아기 분유
3718,량과 때문에 미치겠어요ㅜㅜ,1개월,량과 때문에 미치겠어요 ㅜㅜ,량 때문
3719,60일 아가 하루에 을 나 몇번 먹이시나요,1개월,60일 아가 하루에 을 나 몇 번 먹이시나요,아가 하루 나 몇 번
3720,아기가 너무 많이먹어요(59일)(압타밀 ),1개월,아기가 너무 많이 먹어요(59일)(압타밀 ),아기 압 타밀
3721,하고 시아서면 우는 아이ㅠ 엄마 일까요,1개월,하고 시간 아서면 우는 아이ㅠ 엄마 일까요,시간 서면 아이 엄마 요
3722,50일아기 분유양,1개월,50일 아기 분유양,아기 분유
3723,분유 다시 갈아타는게 나을까요?,1개월,분유 다시 갈아타는 게 나을까요?,분유 다시 게
3724,40일아기 분유은 어느정도신가요~~??,1개월,40일 아기 분유은 어느 정도 신가요~~??,아기 분유 은 정도 신가
3725,유듀에 상처나도 피나고 가슴들어도 시 하신분 있나요?,1개월,유듀에 상처나도 피나 고 가슴 들어도 시 간 하신 분 있나요?,유듀 상처 피나 고 가슴 시 간 분
3726,54일 분유~량..,1개월,54일 분 유~량..,분 유 량
3727,50일 아기 량이 갑자기 훅 늘었는데 괜찮을까요? ㅠ,1개월,50일 아기 량이 갑자기 훅 늘었는데 괜찮을까요? ㅠ,아기 량 갑자기 훅
3728,한 달 된 아이 시 ,1개월,한 달 된 아이 시,달 아이 시
3729,60일 아기 과 먹는양이 갑자기 늘었어요,1개월,60일 아기 과 먹는 양이 갑자기 늘었어요,아기 과 양 갑자기
3730,수 할까요 말까요..?,1개월,수 할까요 말까요..?,수 요 말
3731,60일 분유아기   양 시수면시 공유해요,1개월,60일 분유아기 양 시 수면시 공유해요,분유 아기 양 시 면시 공유
3732,50일 아기 량 좀 봐주세요~,1개월,50일 아기 량 좀 봐주세요~,아기 량 좀
3733,50일 전후 모유 어떠신가요?,1개월,50일 전 후 모유 어떠신가요?,전 후 모유 가요
3734,가리 잘 하시나요?,1개월,가리 잘 하시나요?,
3735,모유가 산모한테 보다 장점이많은게 맞긴한가요..?,1개월,모유가 산모한테 보다 장점이 많은 게 맞긴 한가요..?,모유 산모 장점 게 가요
3736,47일 이요,1개월,47일 이요,이요
3737,자더라도트림시키나요?,1개월,자더라도 트림시키나요?,트림
3738,한달정도된 아가들 분유한통 며칠동안 먹나요?,1개월,한 달 정도 된 아가들 분유한 통 며칠 동안 먹나요?,달 정도 아가 분유 통 며칠 동안
3739,49일 아기 량 감소,1개월,49일 아기 량 감소,아기 량 감소
3740,"한달아기, 분유명 1단계 바로 먹여도될까요!?",1개월,"한 달아기, 분 유명 1단계 바로 먹여도 될까요!?",달 아기 분 유명 단계 바로 요
3741,모유시 트림 잘 시키시나요?,1개월,모유 시 트림 잘 시키시나요?,모유 시 트림
3742,46일아이 양,1개월,46일 아이 양,아이 양
3743,시 33일 분유 분유과 수면시,1개월,시 33일 분유 분유량과 수면시,시 분유 분 유량 면시
3744,량이 많은건가요ㅠ?,1개월,량이 많은 건가요ㅠ?,량 건가
3745,50일아기 할때 몇분정도 리세요?,1개월,50일 아기 할 때 몇 분 정도 리세요?,아기 때 몇 분 정도 리세
3746,양과 ,1개월,양과,양
3747,50일아기 모유ㅠㅠ,1개월,50일 아기 모유ㅠㅠ,아기 모유
3748,50일아가 늘리는법ㅠㅠ,1개월,50일 아가 늘리는 법ㅠㅠ,아가 법
3749,50일아가 량,1개월,50일 아가 량,아가 량
3750,59일차아기 거의6시째자고잇는데깨워야하나요,1개월,59일 차아기 거의 6시째 자고 잇는 데 깨워야 하나요,차 아기 거의 자고 데 하나요
3751,그만할까요 이제ㅠㅠ..,1개월,그만 할까요 이제 ㅠㅠ..,요 이제
3752,50일 아기 ..혼합예요ㅠ,1개월,50일 아기 ..혼합예 요ㅠ,아기 혼합 예 요
3753,39일된여자애기 하루 분유양 인가요??,1개월,39일 된 여자애기 하루 분유 양 인가요??,여자 애기 하루 분유 양
3754,자다깨서 트림하는거는,1개월,자다 깨서 트림하는 거는,트림 거
3755,모유 아예 안하신분 계신가요 ????,1개월,모유 아예 안하신 분 계신가요 ????,모유 아예 분
3756,도와주세요 ㅠㅠㅠ,1개월,도와 주세요 ㅠㅠㅠ,도
3757,수면이 너무 많은 60일 아기(도와주세요),1개월,수면이 너무 많은 60일 아기(도와주세요),수면 아기
3758,60일에 다유 이른걸까요..?.,1개월,60일에 다유 이른 걸까요..?.,유 요
3759,44일 시에 가깝게 중인데 맞게하는걸까요ㅜㅜ??,1개월,44일 시간에 가깝게 중인데 맞게 하는 걸까요 ㅜㅜ??,시간 중 요
3760,50일아가 분유160먹는아가 있나요?,1개월,50일 아가 분유 160 먹는 아가 있나요?,아가 분유 아가
3761,54일아기에요 통수면,1개월,54일 아기에 요 통수면,아기 요 통 수면
3762,시37일 분유 조언부탁드릴께요 ~,1개월,시 37일 분유 조언 부탁드릴께 요 ~,시 분유 조언 요
3763,모유양이적은데 시하신분,1개월,모유양이 적은데 시간 하신 분,모유 시간 분
3764,장거리 이동시 유축 어떻게 하시나요 ?,1개월,장거리 이동 시 유축 어떻게 하시나요 ?,장거리 이동 시 유축
3765,저만  안느는거같아요....ㅜ,1개월,저만 안느는 거 같아요....ㅜ,안느 거
3766,시 통수면 시부터 가능해요?,1개월,시간 통수면 시부터 가능해요?,시간 통 수면 시
3767,50일아기 먹은지 9시 지났는데 깨워서 먹여야하나요?,1개월,50일 아기 먹은 지 9시 지났는데 깨워서 먹여야 하나요?,아기 하나요
3768,44일아기 분유정체기일까여?,1개월,44일 아기 분유 정체기일까여?,아기 분유 정체 기일
3769,모유 이 너무 짧은 것 같은데 괜찮을까요?,1개월,모유 이 너무 짧은 것 같은데 괜찮을까요?,모유 이 것
3770,45일 신생_깨워 먹일까요?,1개월,45일 신생 _깨워 먹일까요?,신생 요
3771,모유통장시 자랑쫌 해주세요,1개월,모유통장 시 자랑쫌 해주세요,모유 통장 시 자랑 쫌
3772,35일된 아기 분유 잘 먹이고 있나요?ㅠ,1개월,35일 된 아기 분유 잘 먹이고 있나요?ㅠ,아기 분유 먹이
3773,44일차 분유양과 .. 1000ml,1개월,44일 차 분유양과 .. 1000ml,차 분유
3774,모유양 늘리고싶어요ㅜ,1개월,모유 양 늘리고 싶어요ㅜ,모유 양
3775,60일정도 되면 애기 먹는양이랑 모유양이 맞춰지나요?,1개월,60일 정도 되면 애기 먹는 양이랑 모 유양이 맞춰 지나요?,정도 애기 양 모 유양 지나
3776,시58일 분유?<U+030A><U+0308>,1개월,시 58일 분유?<U+030A> <U+0308>,시 분유
3777,모유늘리기어떻게이요ㅠㅠ,1개월,모유 늘리기 어떻게 이요ㅠㅠ,모유 이요
3778,4시이 맞는걸까요?,1개월,4시 이 맞는 걸까요?,이 요
3779,한달아기 무게가 많이 안늘엇데요ㅜ,1개월,한 달아 기 무게가 많이 안 늘 엇데요ㅜ,달 기 무게 안 늘 엇데
3780,50일아기 분유,1개월,50일 아기 분유,아기 분유
3781,시60일 분유를 자꾸 토해요ㅠ,1개월,시 60일 분유를 자꾸 토해요ㅠ,시 분유 자꾸 토
3782,40일차 아기 시 어찌하나요ㅜ,1개월,40일차 아기 시 어찌 하나요ㅜ,아기 시 어찌 하나요
3783,시 60일아가 시  어찌되시나요??,1개월,시간 60일 아가 시 어찌 되시나요??,시간 아가 시 어찌
3784,50일아가 양과  궁금해요,1개월,50일 아가 양과 궁금해요,아가 양
3785,모유량 늘리려면 어케해야할까요?,1개월,모유량 늘리려면 어케 해야 할까요?,유량 어케 요
3786,50일아기 모유  다들 어떤가요,1개월,50일 아기 모유 다들 어떤가요,아기 모유 가요
3787,60일인데도 직수하면 수면들어요ㅠ,1개월,60일인데도 직수하면 수면 들어 요ㅠ,직 수하 수면 요
3788,태어난지 한달인데 모유 큰거써도 되나요??,1개월,태어난 지 한 달인데 모유 큰 거 써도 되나요??,달 모유 거
3789,모유 하시는분들은 유두균열 통증 감수하고 하시는건가요?,1개월,모유 하시는 분들은 유두균열 통증 감수하고 하시는 건가요?,모유 분 유두 균열 통증 감수 건가
3790,50일 아기 분유+유축 총 량 1100 ㅜㅜ 어떡할까여,1개월,50일 아기 분유+유축 총 량 1100 ㅜㅜ 어떡할까여,아기 분유 유축 총 량 여
3791,시50일 모유횟수,1개월,시 50일 모유 횟수,시 모유 횟수
3792,40일된 아기 한번 먹는 양과 이 어떻게 되나요??,1개월,40일 된 아기 한 번 먹는 양과 이 어떻게 되나요??,아기 번 양 이
3793,53일아기 시수면 분유궁금해요,1개월,53일 아기 시 수면 분 유 궁금해요,아기 시 수면 분 유
3794,60일 아기 량 문이요!!!,1개월,60일 아기 량 문이요!!!,아기 량 이요
3795,모유차는느낌도 적고 잘먹는걸까요,1개월,모유차는 느낌도 적 고 잘 먹는 걸까요,유차 느낌 적 고 요
3796,분유아가 문이여!! 꼭 답변부탁드려여,1개월,분유아가 문이 여!! 꼭 답변 부탁드려여,분유 아가 문 여 꼭 답변
3797,모유량?,1개월,모유량?,유량
3798,43일된아가량공유해요,1개월,43일 된 아가량 공유해요,가량 공유
3799,사출이 심한데 어떻게 극복하셨어요?,1개월,사출이 심한데 어떻게 극복하셨어요?,사출 극복
3800,46일아가 분유..ㅠㅠ,1개월,46일 아가 분유..ㅠㅠ,아가 분유
3801,36일 아가 분유과 ㅠㅠ,1개월,36일 아가 분유과 ㅠㅠ,아가 분유
3802,무게가 정말 안느네요ㅜ,1개월,무게가 정말 안느네요ㅜ,무게 정말
3803, 시 나 걸리세요?,1개월,시 나 걸리세요?,시 나
3804,120미리먹는아가 이어때요?!,1개월,120미리 먹는 아가 이어때요?!,미리 아가 때
3805,한달 모유... 의미있을까요?,1개월,한 달 모유... 의미 있을까요?,달 모유 의미
3806,46일아기 계속 아이엠마더 먹여도 될까요??,1개월,46일 아기 계속 아이엠마더 먹여도 될까요??,아기 계속 아이엠 마더 요
3807,60일 다되어가는데 살이안쪄요ㅠ 분유 해주세요ㅜ,1개월,60일 다 되어가는데 살이 안쪄요ㅠ 분유 해주세요ㅜ,살이 분유
3808,이제 33일째인데요~,1개월,이제 33일째인데요~,이제
3809,55일차아기 너무많이먹는거같은데..봐주세요ㅠ,1개월,55일 차 아기 너무 많이 먹는 거 같은데..봐주세요ㅠ,차 아기 거
3810,"자세와 장소, 어떻게이요ㅠㅠ",1개월,"자세와 장소, 어떻게 이요ㅠㅠ",자세 장소 이요
3811,시에 아이가 낑낑거리는데 고픈건가요?,1개월,시에 아이가 낑낑거리는 데 고픈 건가요?,시 아이 거리 데 건가
3812,양이 적은가요?,1개월,양이 적은 가요?,양 가요
3813,시 56일 량 공유해요!,1개월,시 56일 량 공유해요!,시 량 공유
3814,39일아기 분유,1개월,39일 아기 분유,아기 분유
3815,혼합예요(유축),1개월,혼합예요(유축),혼합 유축
3816,분유중인아가예요~!,1개월,분유 중인 아가예요~!,분유 중인 아가
3817,다시 할수 있을까요?,1개월,다시 할 수 있을까요?,다시 수
3818,제가 잘못하고 있는 걸까요!?,1개월,제가 잘못하고 있는 걸까요!?,제 잘못 요
3819,33일 아가,1개월,33일 아가,아가
3820,34일 된 아가 나 먹는걸까요?,1개월,34일 된 아가 나 먹는 걸까요?,아가 나 요
3821,직수거부 시 어떻게 해야 할까요? 스트레스 받네여,1개월,직수 거부 시 어떻게 해야 할까요? 스트레스 받네 여,직수 거부 시 요 스트레스 여
3822,50일 (4.8kg) 아기 나 먹이시나요 ?,1개월,50일 (4.8kg) 아기 나 먹이시나요 ?,아기 나
3823,중 인데 변약먹어도될까요?,1개월,중 인데 변약 먹어도 될까요?,중 변약 요
3824,모유후분유하시는분들 조언부탁드려요 ~,1개월,모유후분유하시는 분들 조언 부탁드려 요 ~,유후 분유 조언 요
3825,혼합아닌 혼합인데용,1개월,혼합 아닌 혼합인데 용,혼합 혼합 용
3826,60일 아기 량,1개월,60일 아기 량,아기 량
3827,35일 아기 혼합 그리고 다유노하우,1개월,35일 아기 혼합 그리고 다유 노하우,아기 혼합 유 노하우
3828,50일아가 분유 양 분유 공유해요!,1개월,50일 아가 분유 양 분유 공유해요!,아가 분유 양 분유 공유
3829,시수가 시에 아기 깨면 바로 주는게 맞나요 ?,1개월,시수가 시에 아기 깨면 바로 주는 게 맞나요 ?,수가 시 아기 바로 게
3830,직수에서 유축으로 바꾸면 점차 다유되나요,1개월,직수에서 유축으로 바꾸면 점차 다유되나요,직수 유축 점차 유
3831,,1개월,,
3832,38일된 아가 9시 막수 하고 이제껏 자는데 놔둬도 되나요?,1개월,38일 된 아가 9시 막수 하고 이 제껏 자는 데 놔둬도 되나요?,아가 이 껏 데
3833,60일 아기. 2~3시 으로 140 먹는데 괜찮은가요?,1개월,60일 아기. 2시 반~3시 으로 140 먹는데 괜찮은가요?,아기 반
3834,40일된 여자아이~다들 분유양 나 먹이세여?,1개월,40일 된 여자아이~다들 분유 양 나 먹이세여?,여자아이 분유 양 나
3835,아기가 통수면자기 할때 ,1개월,아기가 통수면 자기 할 때,아기 통 수면 자기 때
3836,50일 아가 모유,1개월,50일 아가 모유,아가 모유
3837,혼합는 도대체 어떻게해여 되나요?,1개월,혼합는 도대체 어떻게 해 여 되나요?,혼합 도대체 해 여
3838,5~60일 아기들 하루에  몇 나와요?,1개월,5~60일 아기들 하루에 몇 나와요?,아기 하루 몇
3839,59일 아가 하루에 모유 몇 번 하시나요??,1개월,59일 아가 하루에 모유 몇 번 하시나요??,아가 하루 모유 몇 번
3840,35일 아가 모유 다유할지말지 고민이에여ㅠ,1개월,35일 아가 모유 다유할지 말지 고민이에 여ㅠ,아가 모유 유 말 고민 여
3841,35일차 모유 다시 가능할까요??,1개월,35일 차 모유 다시 가능할까요??,차 모유 다시 요
3842,42일차 모유거부아기 이길수 있을까요?,1개월,42일 차 모유 거부 아기 이길 수 있을까요?,차 모유 거부 아기 수
3843,모유 문이오ㅡ,1개월,모유 문이 오ㅡ,모유 문 오
3844,33일 먹는양좀봐주세요,1개월,33일 먹는 양 좀 봐주세요,양 좀
3845,40일 모유양이 주는건지 ..잘 먹어주는건지? ,1개월,40일 모유 양이 주는 건지 .. 잘 먹어주는 건지?,모유 양
3846,45일아기.자느라.모유이 아파요,1개월,45일 아기.자느라.모유 이 아파요,아기 모유 이
3847,"60일 아기, 직수 후 분유 중인데 직수 거부해요 너무 힘들어요ㅠㅠㅠ",1개월,"60일 아기, 직수 후 분유 중인데 직수 거부해요 너무 힘들어요ㅠㅠㅠ",아기 직수 후 분유 중 직수 거부
3848,시 39일 아기 1시마다 모유 찾는데.. ㅜㅜ,1개월,시간 39일 아기 1시마다 모유 찾는데.. ㅜㅜ,시간 아기 모유
3849,50일아기 (분유) 하루 어느정도 먹나요?,1개월,50일 아기 (분유) 하루 어느 정도 먹나요?,아기 분유 하루 정도
3850,42일  좀 봐주세요.,1개월,42일 좀 봐주세요.,좀
3851,43일 아기 계속 아이엠마더 먹여도 되나요???,1개월,43일 아기 계속 아이엠마더 먹여도 되나요???,아기 계속 아이엠 마더
3852,34일 아기  ㅜㅜ,1개월,34일 아기 ㅜㅜ,아기
3853, 잡는중인데 시 되기전 고파해요ㅜㅡㅜ,1개월,잡는 중인데 시 되기 전 고파해요 ㅜㅡㅜ,중 시 전 해
